Company,Company ID,Business Type,Christine GMV,Christine Source,External Est Low,External Est Mid,External Est High,Confidence,Methods,Notes
Wellington Florist,640762,Retailer,,Sin dato,300000,600000,1000000,Low,,Retail florist. No public data found. Procurement tier. Typical single-shop retail range.
"Wolfe Wholesale Florist, Inc. Waco",726631,Wholesaler,,Sin dato,2000000,4000000,6000000,Low,location: 1 hub Waco TX x $4M,"Waco TX wholesale florist. Small team (Tom Sr, Tom Jr, Amber, Anna mentioned). Waco = secondary market. No revenue or full employee count found. LinkedIn page exists."
Nexa Flowers Group,831754,Wholesaler,,Sin dato,,,,No data,,No public data found under 'Nexa Flowers Group'. Very new account (high ID number). Needs Koronet internal address data to identify.
Phyto Flowers B.V.,None,Wholesaler,,Sin dato,,,,No data,,No public data found for 'Phyto Flowers BV'. Dutch entity. Needs KVK (Dutch chamber of commerce) lookup. Very limited web presence.
SQ Flora,None,Wholesaler,,Sin dato,2000000,4000000,7000000,Medium,headcount: 1-10 emp + revenue: <$5M + location: Honselersdijk Netherlands,"Dutch-Kenyan flower trader. Located Middel Broekweg 29, Honselersdijk, South Holland. Sources from Holland + Kenya growers. Category management, fixed pricing for events. ZoomInfo: <$5M, 1-10 emp. Small specialist trader."
FM Group B.V./SPA,None,Wholesaler,,Sin dato,300000000,500000000,700000000,High,headcount: 2000 emp worldwide + revenue: 500M EUR (2020) + customers: 25000 in 82 countries,"FM Group is a MAJOR European wholesale/trade company. €500M turnover (2020). 2000 employees, 25,000 customers in 82 countries. 50+ year history. Serves florists, wholesale, retail/e-retail. Flowers + plants + accessories. One of the largest European floral trade companies. If this is the Koronet account, GMV will be enormous."
blooms2go,None,Importer,,Sin dato,2000000,5000000,10000000,Low,business model: 3rd-generation Canadian wholesale,"3rd generation family business, two sisters, Mississauga ON. Online-first model, shipment-ready bouquets, local + global flowers. Canadian market. No employee or revenue data found. Blooms2Go (blooms2go.org) is separate entity."
Komet Sales LLC,None,Wholesaler,,Sin dato,,,,No data,,"NOTE: Komet Sales LLC is the platform provider (Koronet). This account should NOT be in the GMV estimation list - it is the software vendor, not a client. Flag for data quality review."
San Francisco Gardens (L1),None,Wholesaler,,Sin dato,,,,No data,,No match found. 'L1' tag suggests this may be a lead/prospect designation. San Francisco Gardens could be SF Flower Market vendor or garden center. Needs Koronet internal data.
Flower Board - The Financial Company,None,Wholesaler,,Sin dato,3000000,7000000,12000000,Low,import records: found on ImportGenius,Israeli flower company with US import activity. Shipped to John Vena Inc in Philadelphia. ImportGenius records confirm import activity. Financial/factoring model for flower trade. No employee count.
Royal Flowers GmbH,None,Importer,,Sin dato,,,,No data,,No public data found for 'Royal Flowers GmbH'. German entity (GmbH). Needs German Handelsregister lookup. Likely a German importer/distributor.
Bluumii/SoCal Flowers,None,Wholesaler,,Sin dato,8000000,15000000,22000000,Low,"location: 3 hubs (Van Nuys, Downtown LA, Oxnard) x $5M each","Two related entities: SoCal Flowers Inc = 3 warehouses (Van Nuys, Downtown LA, Oxnard/nationwide shipping). Bluumii = subscription/hospitality arm serving Southern CA restaurants/retail. Combined: major Southern CA market. 3 hubs x $5M = $15M. LA is major metro."
Green Valley Floral,None,Wholesaler,,Sin dato,5000000,10000000,18000000,Low,farm: Salinas CA grower-shipper + crops: 150+ acres,"Multi-generation grower-shipper, est 1973. Salinas CA. Grows garden roses, lilies, Gerbera daisies. Ships to wholesalers across US + Canada. 150+ acres cultivated. California major grower. Also: Green Valley Flowers Wholesale (separate entity, San Marcos CA)."
AquaRose,470794,Importer,,not in Christine cascade,5000000,10000000,20000000,Low,"market: 20+ years, Miami logistics + product: 90-200 rose varieties",Ecuadorian rose grower/importer with 20+ years. Miami logistics facility. 90+ varieties (200 on another source). Seasonal + holiday programs. No employee or revenue data. Ecuador grower with US distribution hub model.
Ecoroses - Floropolis,769085,Grower,,Sin dato,,,,No data,,"Floropolis internal farm entity. Facu's own business (Floropolis). GMV should come from internal data, not external estimation."
Flodecol - Floropolis,769099,Grower,,Sin dato,,,,No data,,"Floropolis internal farm entity. Facu's own business (Floropolis). GMV should come from internal data, not external estimation."
Magic Flowers - Floropolis,770224,Grower,,Sin dato,,,,No data,,"Floropolis internal farm entity. Facu's own business. GMV should come from internal data, not external estimation."
Mellano Sales,655985,Grower,,Sin dato,20000000,35000000,55000000,Medium,farms: 375 acres San Luis Rey + 75 acres Carlsbad + locations: 4 distribution hubs,"One of CA's largest wholesale flower growers. Est 1925, 3rd generation. 450+ acres total. 4 distribution hubs: LA Flower Market, SD Floral Trade Center, Orange County, Las Vegas. Major CA producer. No employee count. Grower + wholesale hybrid - high GMV."
Olimpo Flowers Finca,751341,Grower,,not in Christine cascade,,,,No data,,Colombian flower farm (Finca). No public web presence found. Typical Antioquia small-to-mid rose/carnation farm. Needs import records lookup on Panjiva/ImportGenius.
"Littlefloyd Investments, LLC",664133,Retailer,,not in Christine cascade,300000,600000,1200000,Low,,Retail florist. Investment LLC structure suggests multi-unit possible. No public data found. Procurement tier.
CASCADE FLOWERS DBA STADIUM FLOWERS INC,652302,Retailer,,Sin dato,500000,1000000,2000000,Low,,Retail florist. Procurement tier. Stadium/sports venue association may indicate event-driven retail. No public data found.
